year,pfg_utly,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,No Utility Patent Granted,11,20273,20612,158446,152276,3975,19.425,3677,17.969,52956,19737,33219,12.961,34.776,40953,17161,23792,11.270,26.894,12003,7.882,53.788,2689,2714,12044
1978,No Utility Patent Granted,21,18783,21165,388476,379710,3546,17.052,2806,13.494,110449,39111,71338,10.300,29.088,92580,36199,56381,9.533,24.382,17869,4.706,48.764,1745,1781,16701
1978,No Utility Patent Granted,22,5606,10439,577064,561665,857,8.356,492,4.797,74964,18830,56134,3.353,13.347,44251,10767,33484,1.917,7.879,30713,5.468,15.757,214,216,1818
1978,No Utility Patent Granted,23,425719,429676,3763792,3495877,91637,22.236,56514,13.713,1260553,400811,859742,11.465,36.058,723695,259043,464652,7.410,20.701,536858,15.357,41.403,43819,43858,189899
1978,No Utility Patent Granted,31-33,256922,277121,8097426,7813994,32100,11.728,25256,9.228,1453594,354638,1098956,4.538,18.602,886588,359056,527532,4.595,11.346,567006,7.256,22.692,18821,18961,215363
1978,No Utility Patent Granted,42,233323,270748,2974362,2868181,34970,13.138,25827,9.703,627345,196282,431063,6.843,21.873,414981,189395,225586,6.603,14.468,212364,7.404,28.937,18000,18357,104211
1978,No Utility Patent Granted,44-45,740523,936274,8742433,8463565,131271,14.155,113458,12.234,1874821,734882,1139939,8.683,22.152,1320029,589208,730821,6.962,15.597,554792,6.555,31.193,77845,79690,318838
1978,No Utility Patent Granted,48-49,89565,103937,1988676,1910460,17823,17.396,14861,14.505,469029,142971,326058,7.484,24.551,313447,119241,194206,6.241,16.407,155582,8.144,32.814,10901,10950,56777
1978,No Utility Patent Granted,51,38144,49050,1099730,1063397,7452,15.504,5479,11.400,206681,66896,139785,6.291,19.436,134409,63854,70555,6.005,12.640,72272,6.796,25.279,3359,3475,32237
1978,No Utility Patent Granted,52,146025,219631,3753638,3643840,23894,11.095,15354,7.129,615309,147439,467870,4.046,16.886,393174,121076,272098,3.323,10.790,222135,6.096,21.580,8670,8774,37336
1978,No Utility Patent Granted,53,168857,175887,962889,914909,30014,17.405,23139,13.418,279081,113119,165962,12.364,30.504,182165,89459,92706,9.778,19.911,96916,10.593,39.821,18233,18286,58560
1978,No Utility Patent Granted,54,233451,246644,1809600,1712611,41919,17.620,24451,10.277,477177,178167,299010,10.403,27.863,283346,137703,145643,8.041,16.545,193831,11.318,33.089,17440,17708,95273
