year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,11,20358,21019,185795,178798,4011,19.226,3698,17.726,57372,20570,36802,11.505,32.088,43724,17668,26056,9.882,24.454,13648,7.633,48.909,2690,2715,12047
1978,21,19105,24709,708633,710248,3948,16.224,3199,13.146,165068,57509,107559,8.097,23.241,168344,59996,108348,8.447,23.702,-3276,-0.461,46.482,1747,1783,16712
1978,22,5681,11859,658516,643489,928,7.946,567,4.855,80920,19715,61205,3.064,12.575,51198,12451,38747,1.935,7.956,29722,4.619,15.913,215,217,1820
1978,23,426309,431986,4095927,3822634,91838,22.160,56730,13.689,1336332,421722,914610,11.032,34.958,788469,273470,514999,7.154,20.626,547863,14.332,41.253,43833,43872,190035
1978,31-33,263909,311911,18324614,17892952,33616,10.894,26929,8.727,2407302,506190,1901112,2.829,13.454,1546160,528925,1017235,2.956,8.641,861142,4.813,17.282,18993,19135,224138
1978,42,235790,306378,3826450,3703833,38494,12.772,28511,9.460,793757,259109,534648,6.996,21.431,548775,247285,301490,6.676,14.816,244982,6.614,29.633,18036,18394,105518
1978,44-45,741550,1000784,9940686,9621886,136447,13.762,117903,11.891,2092467,816278,1276189,8.484,21.747,1457266,640907,816359,6.661,15.145,635201,6.602,30.291,77864,79711,318954
1978,48-49,90310,110558,2432380,2341394,18462,16.945,15247,13.994,545548,167378,378170,7.149,23.300,363178,136587,226591,5.834,15.511,182370,7.789,31.022,10904,10953,56821
1978,51,38463,62984,2164336,2107636,7918,12.754,6111,9.844,373216,83041,290175,3.940,17.708,258978,80448,178530,3.817,12.288,114238,5.420,24.575,3362,3478,32247
1978,52,146358,233803,4105764,3982340,25161,10.973,16134,7.037,679960,167548,512412,4.207,17.074,430870,134940,295930,3.388,10.820,249090,6.255,21.639,8679,8783,37414
1978,53,169264,178089,1024448,979878,30613,17.546,23374,13.397,293536,122133,171403,12.464,29.956,203084,95725,107359,9.769,20.725,90452,9.231,41.451,18247,18301,58593
1978,54,234677,250085,2217643,2115461,42345,17.546,24854,10.298,534296,197486,336810,9.335,25.257,330533,149600,180933,7.072,15.625,203763,9.632,31.249,17483,17751,95606
1978,55,18993,36128,2428735,2362628,3944,11.034,3177,8.888,524500,138903,385597,5.879,22.200,391529,97797,293732,4.139,16.572,132971,5.628,33.144,400,431,4528
1978,56,109139,121871,1961924,1834412,26432,22.651,16079,13.779,620230,206902,413328,11.279,33.811,366272,133171,233101,7.260,19.967,253958,13.844,39.933,11938,12019,72450
1978,61,30432,32424,1282237,1211637,4458,14.044,3098,9.759,272273,33454,238819,2.761,22.472,134005,64316,69689,5.308,11.060,138268,11.412,22.120,2260,2292,48802
1978,62,313994,340668,5845564,5579704,40859,12.349,21276,6.430,1007202,291686,715516,5.228,18.051,474129,192870,281259,3.457,8.497,533073,9.554,16.995,14703,14883,108264
1978,71,42613,44706,650943,614788,7669,17.637,5220,12.005,168217,60126,108091,9.780,27.362,96124,35822,60302,5.827,15.635,72093,11.726,31.271,3856,3874,22420
1978,72,286031,342041,5218158,4936398,61698,18.264,53225,15.756,1519285,777231,742054,15.745,30.777,953269,484598,468671,9.817,19.311,566016,11.466,38.622,38177,38757,300719
1978,81,430337,463829,3164734,3020615,62279,13.651,47072,10.318,763720,241157,522563,7.984,25.284,473667,179520,294147,5.943,15.681,290053,9.602,31.362,33772,34118,114292
1979,11,20027,20633,185894,186548,3612,17.490,3650,17.674,50071,19437,30634,10.419,26.841,51580,20607,30973,11.047,27.650,-1509,-0.809,53.682,2618,2662,13911
1979,21,19853,25591,819708,765274,4190,16.726,3111,12.418,218346,53660,164686,7.012,28.532,109606,45606,64000,5.959,14.322,108740,14.209,28.645,1868,1885,19101
1979,22,5947,12131,683736,672011,789,6.570,545,4.538,62484,21587,40897,3.212,9.298,39494,8065,31429,1.200,5.877,22990,3.421,11.754,213,213,897
1979,23,448273,453978,4582670,4355258,84801,19.122,63780,14.382,1383348,390620,992728,8.969,31.763,928401,305674,622727,7.019,21.317,454947,10.446,42.634,49605,49636,224287
1979,31-33,261130,309745,19113251,18733325,31453,10.191,29253,9.478,2445824,512800,1933024,2.737,13.056,1681062,550566,1130496,2.939,8.974,764762,4.082,17.947,19294,19478,220969
1979,42,247495,319360,4087885,3983135,35619,11.286,28124,8.911,756207,235710,520497,5.918,18.985,546680,209521,337159,5.260,13.725,209527,5.260,27.450,17767,18086,95145
1979,44-45,753555,1020350,10422110,10206313,123883,12.244,106738,10.550,1882218,742092,1140126,7.271,18.442,1444641,532170,912471,5.214,14.154,437577,4.287,28.309,73284,74924,303017
1979,48-49,93830,114687,2598759,2515453,19049,16.952,14413,12.826,495786,148578,347208,5.907,19.710,328815,103423,225392,4.112,13.072,166971,6.638,26.144,10732,10774,54888
1979,51,40714,64892,2280363,2228311,8041,12.557,6325,9.878,411892,81666,330226,3.665,18.484,308518,82970,225548,3.723,13.845,103374,4.639,27.691,3396,3425,25976
