NAICS,IndustryTitle,Basis,year,tfp_pct_change,tfp_index_2017
3111,Animal food manufacturing,All workers,1988.0,-1.6,101.189
3111,Animal food manufacturing,All workers,1989.0,1.4,102.619
3111,Animal food manufacturing,All workers,1990.0,3.0,105.689
3111,Animal food manufacturing,All workers,1991.0,-3.7,101.807
3111,Animal food manufacturing,All workers,1992.0,-1.5,100.284
3111,Animal food manufacturing,All workers,1993.0,3.1,103.371
3111,Animal food manufacturing,All workers,1994.0,1.0,104.439
3111,Animal food manufacturing,All workers,1995.0,5.5,110.155
3111,Animal food manufacturing,All workers,1996.0,-11.5,97.511
3111,Animal food manufacturing,All workers,1997.0,4.1,101.551
3111,Animal food manufacturing,All workers,1998.0,6.1,107.73
3111,Animal food manufacturing,All workers,1999.0,0.0,107.687
3111,Animal food manufacturing,All workers,2000.0,-2.0,105.508
3111,Animal food manufacturing,All workers,2001.0,5.5,111.264
3111,Animal food manufacturing,All workers,2002.0,3.6,115.319
3111,Animal food manufacturing,All workers,2003.0,4.1,120.048
3111,Animal food manufacturing,All workers,2004.0,-0.7,119.168
3111,Animal food manufacturing,All workers,2005.0,8.3,129.086
3111,Animal food manufacturing,All workers,2006.0,1.1,130.57
3111,Animal food manufacturing,All workers,2007.0,-8.6,119.362
3111,Animal food manufacturing,All workers,2008.0,-3.0,115.826
3111,Animal food manufacturing,All workers,2009.0,-0.4,115.305
3111,Animal food manufacturing,All workers,2010.0,0.0,115.305
3111,Animal food manufacturing,All workers,2011.0,-3.4,111.38
3111,Animal food manufacturing,All workers,2012.0,-6.0,104.739
3111,Animal food manufacturing,All workers,2013.0,-2.3,102.317
3111,Animal food manufacturing,All workers,2014.0,-0.5,101.79
3111,Animal food manufacturing,All workers,2015.0,-0.1,101.702
3111,Animal food manufacturing,All workers,2016.0,-0.6,101.114
3111,Animal food manufacturing,All workers,2017.0,-1.1,100.0
3111,Animal food manufacturing,All workers,2018.0,-0.8,99.164
3111,Animal food manufacturing,All workers,2019.0,1.3,100.413
3111,Animal food manufacturing,All workers,2020.0,0.3,100.687
3111,Animal food manufacturing,All workers,2021.0,5.9,106.604
3111,Animal food manufacturing,All workers,1987,N.A.,102.8
3111,Animal food manufacturing,All workers,2022,N.A.,N.A.
3111,Animal food manufacturing,All workers,2023,N.A.,N.A.
3111,Animal food manufacturing,All workers,2024,N.A.,N.A.
3111,Animal food manufacturing,All workers,Digit,4-Digit,4-Digit
