year,NAICS,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,Industry,Basis,weight,tfp_pct_change,tfp_index_2017,firms_percent_destroyed,eer,pct_high_growth_emp,tfp_log,tfp_diff3,tfp_ann_pct
1987,211,7297,8942,130532,142230,909,9.665,1836,19.52,19496,7354,12142,5.17,13.707,42920,15291,27629,10.751,30.176,-23424,-16.469,27.415,1204,1216,5416,Oil and gas extraction,All workers,0.0232600792990026,,60.776,16.499931478689874,5.170498488363918,4.685441117886802,4.107194974200921,,
1987,212,6245,8515,285319,296796,1120,13.007,1312,15.236,47729,19807,27922,6.674,16.081,70599,28991,41608,9.768,23.787,-22870,-7.706,32.163,767,775,9355,"Mining, except oil and gas",All workers,0.0121661871907101,,86.967,12.281825460368296,6.673607461016995,6.0865207013903735,4.465528736353391,,
1987,213,8315,9765,162956,193482,1262,11.9,2942,27.742,30660,14267,16393,7.374,15.846,91515,31566,59949,16.315,47.299,-60855,-31.453,31.693,2061,2073,17203,Support activities for mining,All workers,0.0037702059960596,,58.849,24.786530366806975,7.373812551038339,6.6017820761432535,4.074974841208473,,
1987,321,14489,16107,517089,510664,1884,11.717,1828,11.369,84106,22267,61839,4.36,16.47,71067,35725,35342,6.996,13.917,13039,2.553,27.833,1320,1328,18984,Wood products,All workers,0.0161902131950678,,104.62,9.11035958313203,4.360401359798224,5.893956359543521,4.650334737942465,,
1987,322,3683,5633,572571,572627,330,5.847,351,6.22,42902,11418,31484,1.994,7.492,43096,12901,30195,2.253,7.526,-194,-0.034,14.984,227,228,5271,Paper products,All workers,0.0287503537680755,,96.878,6.163453706217757,1.99396815029679,1.237575776628575,4.573452454935956,,
1987,323,39929,41670,797309,789266,5076,12.393,3653,8.919,108054,31469,76585,3.987,13.69,92073,31697,60376,4.016,11.666,15981,2.025,23.331,2897,2900,21902,Printing and related support activities,All workers,0.0221695806165311,,77.905,7.255378296476245,3.9871222122833117,4.947391789130688,4.355490135669318,,
1987,324,1274,2126,113645,116649,193,8.975,242,11.253,8881,1754,7127,1.504,7.613,14916,6224,8692,5.336,12.787,-6035,-5.174,15.227,111,114,1438,Petroleum and coal products,All workers,0.0428591742022686,,82.916,8.712715855572998,1.5036562679491468,1.668353205156408,4.417828047137265,,
1987,325,8335,11958,867115,884032,926,7.658,1194,9.874,71132,17287,53845,1.955,8.046,104224,38141,66083,4.314,11.79,-33092,-3.743,16.093,625,630,7662,Chemical products,All workers,0.0717740472991328,,121.305,7.498500299940011,1.9554722001013536,1.948184496866044,4.7983080352158956,,
1987,326,11580,13909,802850,793130,1345,9.702,1252,9.032,108521,32798,75723,4.135,13.683,89385,28942,60443,3.649,11.27,19136,2.413,22.54,850,859,13199,Plastics and rubber products,All workers,0.0288636969382221,,82.835,7.340241796200346,4.1352615586347765,3.753129476240892,4.4168506773905,,
1987,327,11638,14944,500140,500444,1381,9.227,1426,9.528,65659,16283,49376,3.254,13.12,66762,23163,43599,4.628,13.341,-1103,-0.22,26.24,885,901,9076,Nonmetallic mineral products,All workers,0.0191010718829247,,92.218,7.604399381337,3.253710704894054,3.859719278601991,4.524155339273815,,
1987,331,4272,5226,593204,613502,427,8.112,502,9.537,51445,23224,28221,3.785,8.385,92486,32264,60222,5.259,15.075,-41041,-6.69,16.771,283,287,7596,Primary metal products,All workers,0.0323076119899202,,78.42,6.624531835205992,3.7854807319291544,1.9730143424521749,4.362078996864185,,
1987,332,50137,53860,1594875,1618208,4970,9.236,4868,9.047,188573,51195,137378,3.164,11.653,235058,71903,163155,4.443,14.526,-46485,-2.873,23.306,3519,3549,35233,Fabricated metal products,All workers,0.047650155657952,,103.194,7.0187685741069465,3.1636847673475845,3.684990986754448,4.63661071182241,,
1987,333,25238,27760,1290619,1328819,2094,7.482,2551,9.114,128073,37841,90232,2.848,9.638,204486,61715,142771,4.644,15.389,-76413,-5.75,19.276,1727,1736,20225,Machinery,All workers,0.0480279662251075,,103.231,6.8428560107774,2.8477166566703214,2.55993441906558,4.6369691955370405,,
1987,334,12170,14216,1772485,1807782,1678,11.775,1746,12.253,167979,49523,118456,2.739,9.292,240950,88929,152021,4.919,13.328,-72971,-4.036,18.584,1135,1151,21348,Computer and electronic products,All workers,0.0688511673659573,,16.261,9.32621199671323,2.739434290196495,2.2031216061066807,2.7887696028435855,,
1987,335,5719,6884,629422,642087,583,8.443,625,9.051,58369,16042,42327,2.498,9.091,84571,31322,53249,4.878,13.171,-26202,-4.081,18.181,329,333,5676,"Electrical equipment, appliances, and components",All workers,0.0238886186970885,,94.643,5.752753977968176,2.4984153237801108,1.6998134796686482,4.550111918237887,,
1987,337,17106,18228,585114,578070,2441,13.525,2080,11.525,85676,23570,62106,4.077,14.821,71789,26834,44955,4.642,12.419,13887,2.402,24.837,1601,1608,17732,Furniture and related products,All workers,0.0137560827501307,,101.505,9.359289138314042,4.077360873250645,5.113704337958072,4.620108058352298,,
1987,339,25380,26456,623683,619799,3369,12.823,3005,11.437,95069,26017,69052,4.198,15.339,86784,32757,54027,5.285,14.002,8285,1.337,28.004,2252,2258,15070,Miscellaneous manufacturing,All workers,0.0190691297167925,,78.5,8.873128447596534,4.197651174009639,5.12327576669558,4.363098624788363,,
1987,481,1181,3477,372244,369898,468,13.078,671,18.751,54308,9148,45160,2.473,14.682,48480,31124,17356,8.414,13.106,5828,1.576,26.213,231,241,2839,Air transportation,All workers,0.0162259334668716,,44.653,19.55969517358171,2.4731142098632595,0.9351393172220372,3.7989214943151315,,
1987,483,603,946,44671,44645,114,11.692,172,17.641,10634,3249,7385,7.277,23.819,10648,3880,6768,8.691,23.851,-14,-0.031,47.639,82,82,1120,Water transportation,All workers,0.0053607884837841,,79.277,13.598673300165837,7.277410684287154,2.9571757963779635,4.372948048740675,,
1987,484,64486,74932,1041379,1024706,13782,18.613,12006,16.215,226262,82883,143379,8.088,22.081,193064,86039,107025,8.396,18.841,33198,3.24,37.682,8716,8762,49367,Truck transportation,All workers,0.0260143183335659,,83.874,13.516112024315357,8.088466350348295,9.3224464868218,4.429315672717046,,
1987,485,10700,11540,254014,249180,1747,15.19,1669,14.512,46640,15717,30923,6.307,18.717,36713,16323,20390,6.551,14.734,9927,3.984,29.467,1347,1350,12911,Transit and ground passenger transportation,All workers,0.0052969041515197,,100.927,12.588785046728972,6.30748856248495,7.594856976387128,4.614397483238222,,
