year,NAICS,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,Industry,Basis,weight,tfp_pct_change,tfp_index_2017,firms_percent_destroyed
1987,11,18421,18977,170858,170501,3109,16.513,2811,14.93,47176,17183,29993,10.078,27.669,46099,18778,27321,11.013,27.037,1077,0.632,54.075,2058,2060,11605,"Agriculture, forestry, fishing, and hunting",All workers,0.009333107266033336,N.A.,68.776,11.1720319200912
1987,21,21621,27222,578807,632507,3291,11.498,6090,21.278,97884,41428,56456,6.55,15.476,205220,75848,129372,11.992,32.445,-107336,-16.97,30.951,4029,4064,31974,Mining,All workers,0.006984261390149769,N.A.,66.059,18.63466074649646
1987,22,5844,12393,774290,772758,654,5.294,575,4.655,45838,13958,31880,1.806,5.932,43066,7975,35091,1.032,5.573,2772,0.359,11.146,313,315,1606,Utilities,All workers,0.013569942429906827,N.A.,76.927,5.355920602327173
1987,23,485658,492062,4965017,4877830,90479,18.838,66956,13.94,1407254,441939,965315,9.06,28.85,1234210,409421,824789,8.394,25.302,173044,3.548,50.605,49892,49934,282447,Construction,All workers,0.03066427240844441,N.A.,116.637,10.273072820791587
1987,31-33,286017,332737,16522435,16658447,35126,10.577,33854,10.194,1897280,535297,1361983,3.213,11.389,2174495,760351,1414144,4.564,13.053,-277215,-1.664,22.779,23996,24227,300581,Manufacturing sector,All workers,0.10107713030103099,N.A.,76.544,8.389711101088396
1987,42,279786,357272,4671838,4637353,43355,12.146,42714,11.966,883091,307018,576073,6.621,19.043,812078,325172,486906,7.012,17.512,71013,1.531,35.023,26632,27290,159386,Wholesale trade,All workers,0.02101673851015835,N.A.,68.663,9.518703580593739
1987,44-45,729897,1059955,11923546,11732794,136344,12.912,128328,12.153,2293835,988114,1305721,8.422,19.551,1911575,783482,1128093,6.678,16.293,382260,3.258,32.585,82526,85578,409953,,,,,,11.306526811317214
1987,48-49,103252,128677,2852556,2799704,22360,17.603,19056,15.002,578143,190321,387822,6.798,20.65,472182,204940,267242,7.32,16.865,105961,3.785,33.731,13083,13241,90227,Transportation and warehousing,All workers,0.01458388907520648,N.A.,77.4,12.670940998721575
1987,51,46228,76072,2539117,2542860,12180,16.119,11158,14.767,511203,273987,237216,10.775,20.103,516975,164781,352194,6.48,20.33,-5772,-0.227,40.207,6926,7103,70255,Information,All workers,0.01660649945144693,N.A.,78.021,14.982261832655533
1987,52,173890,289319,5493500,5369892,34083,11.95,25878,9.073,956966,321318,635648,5.984,17.821,707275,218544,488731,4.07,13.171,249691,4.65,26.342,15843,16202,100021,Finance and insurance,All workers,0.025597025259291487,N.A.,99.457,9.110932198516302
1987,53,193496,212988,1500555,1480817,38683,18.426,32585,15.521,396114,182938,213176,12.354,26.75,358976,170819,188157,11.535,24.242,37138,2.508,48.484,24747,24963,106756,Real estate and rental and leasing,All workers,0.023429227966082794,N.A.,105.312,12.78941166742465
1987,54,386477,413483,4008483,3910913,66571,16.417,50630,12.485,889880,319984,569896,8.182,22.754,693088,279931,413157,7.158,17.722,196792,5.032,35.444,37221,37437,175171,"Professional, scientific, and technical services",All workers,0.018207408957982937,N.A.,88.851,9.630844785071298
1987,55,24505,44524,3024400,3051148,5330,11.976,5294,11.895,555466,172971,382495,5.669,18.205,610700,178671,432029,5.856,20.015,-55234,-1.81,36.41,1001,1036,13891,Management of companies and enterprises,All workers,0.006479649840978021,N.A.,108.849,4.084880636604774
1987,56,179992,201376,3556810,3463304,40795,20.84,29557,15.099,989280,384885,604395,11.113,28.565,802039,278099,523940,8.03,23.158,187241,5.406,46.316,22121,22397,157783,Administrative and waste management services,All workers,0.007631884538612585,N.A.,91.619,12.289990666251834
1987,61,34784,38441,1637972,1610982,4642,12.18,3981,10.446,184652,33790,150862,2.097,11.462,129957,30872,99085,1.916,8.067,54695,3.395,16.134,3011,3036,19655,Educational services,All workers,0.0017467800947742293,N.A.,104.794,8.656278748850047
1987,62,430442,482970,9243094,8998615,49237,10.312,38238,8.008,1765763,899031,866732,9.991,19.623,1280161,354169,925992,3.936,14.226,485602,5.396,28.452,28066,28399,227425,Health care and social assistance,All workers,0.017766254533051164,N.A.,120.163,6.520274508528442
1987,71,58739,63303,938902,918912,11267,18.064,9409,15.085,220950,84828,136122,9.231,24.045,180854,64512,116342,7.02,19.681,40096,4.363,39.363,7196,7226,45242,"Arts, entertainment, and recreation",All workers,0.0024554364420653076,N.A.,95.52,12.250804405931323
1987,72,308965,399275,7406004,7253382,72393,18.427,59552,15.159,1820203,1004983,815220,13.855,25.095,1517478,686727,830751,9.468,20.921,302725,4.174,41.842,43995,44899,444619,Accommodation and food services,All workers,0.011937646196885813,N.A.,89.804,14.239476963410095
1987,81,528273,573125,4074998,4028426,70447,12.394,60973,10.727,769549,286763,482786,7.118,19.103,675583,252110,423473,6.258,16.77,93966,2.333,33.541,44259,44738,170446,"Other services, except government",All workers,0.009116383473452738,N.A.,102.287,8.378054528624403
1988,11,18757,19233,178943,174832,3139,16.423,2899,15.168,50800,20718,30082,11.85,29.056,42514,18638,23876,10.661,24.317,8286,4.739,48.634,2062,2065,11126,"Agriculture, forestry, fishing, and hunting",All workers,0.008802011053767848,-7.9,63.369,10.993229194434077
1988,21,21244,26499,576872,579117,3426,12.755,4148,15.443,120076,36090,83986,6.232,20.734,125013,50274,74739,8.681,21.587,-4937,-0.853,41.469,2645,2678,18840,Mining,All workers,0.006266460060722216,6.8,70.536,12.45057427979665
1988,22,6043,12627,771124,772304,944,7.547,706,5.644,49403,18212,31191,2.358,6.397,52326,17792,34534,2.304,6.775,-2923,-0.378,12.794,243,325,6622,Utilities,All workers,0.012992866299242064,-2.8,74.77,4.021181532351481
1988,23,495852,502349,5074300,5031244,83829,16.854,73881,14.854,1330097,394707,935390,7.845,26.437,1243751,393736,850015,7.826,24.721,86346,1.716,49.441,55950,56029,294651,Construction,All workers,0.029013231481561607,-0.1,116.477,11.283608818760436
1988,31-33,291863,339642,17060717,16876782,36336,10.776,31433,9.322,2283652,720176,1563476,4.267,13.531,1919722,678426,1241296,4.02,11.375,363930,2.156,22.75,23356,23546,293913,Manufacturing sector,All workers,0.10050887856416876,1.9,78.031,8.002384680483651
1988,42,284050,363415,4781327,4739544,42935,11.898,37804,10.476,866868,296657,570211,6.259,18.29,786467,311559,474908,6.574,16.594,80401,1.696,33.187,25352,26092,165535,Wholesale trade,All workers,0.02124793899846152,1.5,69.693,8.925189227248724
1988,44-45,735643,1078776,12351224,12165919,134619,12.57,118941,11.106,2325719,1014843,1310876,8.342,19.117,1955840,739148,1216692,6.076,16.076,369879,3.04,32.153,77867,81543,391757,,,,,,10.5848896815439
1988,48-49,105025,132110,3001167,2932405,22440,17.2,19151,14.679,624262,216157,408105,7.371,21.288,482082,182361,299721,6.219,16.44,142180,4.849,32.88,13473,13679,95050,Transportation and warehousing,All workers,0.014756211982992576,2.1,79.003,12.828374196619851
1988,51,47732,77447,2576896,2561007,10889,14.1,10447,13.528,378286,149003,229283,5.818,14.771,347140,128945,218195,5.035,13.555,31146,1.216,27.11,5590,5758,52186,Information,All workers,0.016293720271493083,-0.8,77.394,11.711220983826363
1988,52,173354,295328,5251402,5275215,37245,12.793,28876,9.918,863873,321110,542763,6.087,16.376,906093,287295,618798,5.446,17.176,-42220,-0.8,32.752,16128,16370,114483,Finance and insurance,All workers,0.024564708260754152,-0.9,98.604,9.303506120424103
1988,53,197912,220486,1585126,1545250,36428,16.801,29087,13.416,418539,203330,215209,13.158,27.086,337800,145241,192559,9.399,21.861,80739,5.225,43.721,21979,22293,99400,Real estate and rental and leasing,All workers,0.02456898656452878,-0.9,104.314,11.105440801972593
1988,54,401361,430790,4266791,4153682,69661,16.484,53301,12.612,934436,354921,579515,8.545,22.497,708559,281015,427544,6.765,17.059,225877,5.438,34.117,39556,39935,172570,"Professional, scientific, and technical services",All workers,0.019064178663790933,3.8,92.247,9.855466774300444
1988,55,25544,47447,3065068,3051563,8204,17.842,5272,11.466,647254,215247,432007,7.054,21.211,619915,189129,430786,6.198,20.315,27339,0.896,40.629,869,920,14636,Management of companies and enterprises,All workers,0.0063061056757004325,-7.5,100.668,3.4019730660820544
1988,56,189078,212830,3872309,3721649,41950,20.245,30707,14.819,1144211,431992,712219,11.608,30.745,839639,308951,530688,8.301,22.561,304572,8.184,45.122,23160,23422,180935,Administrative and waste management services,All workers,0.008267622390291695,-1.5,90.283,12.248913146955225
1988,61,35964,39963,1696012,1678654,5142,13.1,3721,9.48,179508,35965,143543,2.142,10.694,145140,27530,117610,1.64,8.646,34368,2.047,17.292,2755,2802,19920,Educational services,All workers,0.00186134736221465,-0.4,104.396,7.660438215993771
