Production Account Quantity Index Value Added (2012=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farms,56.821,50.492,57.365,61.917,62.269,71.912,63.745,77.129,61.427,71.029,79.590,76.801,78.728,93.033,86.218,89.899,97.667,107.557,113.539,111.344,97.480,99.897,114.515,110.793,105.739,100.000,120.765,122.007,130.526,138.147,135.825,131.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forestry, fishing, and related activities",94.939,85.808,86.393,85.933,84.609,80.613,72.447,77.559,78.443,76.626,73.716,75.225,78.887,81.678,90.836,91.627,95.827,94.823,93.125,108.549,100.920,100.583,96.878,94.856,94.415,100.000,96.643,98.402,103.286,104.033,103.252,107.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil and gas extraction,87.727,94.900,88.599,84.909,86.946,81.286,82.749,91.822,100.901,87.448,87.914,88.161,80.360,61.849,72.282,82.814,67.080,66.569,65.805,74.814,80.814,76.666,102.984,81.222,81.350,100.000,105.609,119.948,157.671,165.597,169.050,169.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mining, except oil and gas",61.800,76.042,77.175,81.343,87.695,88.843,91.154,102.959,99.232,108.409,115.509,134.350,142.616,140.532,136.025,124.663,126.821,122.517,123.670,126.304,128.885,118.381,111.041,113.064,112.681,100.000,102.535,100.739,93.481,90.130,98.581,101.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support activities for mining,14.157,16.199,14.100,15.316,15.650,14.450,20.601,19.902,18.420,18.198,22.619,21.245,20.484,27.753,41.560,32.156,34.866,40.441,49.146,72.133,81.905,91.457,68.162,76.537,95.607,100.000,99.568,112.172,74.630,46.620,59.783,70.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilities,78.738,75.785,82.306,86.207,83.687,84.739,83.813,85.206,85.881,85.601,82.544,78.879,91.879,93.064,77.105,79.817,78.053,82.831,78.503,83.363,85.039,89.577,84.969,95.161,98.777,100.000,98.927,95.110,94.940,99.769,101.529,101.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction,113.762,117.617,118.566,116.656,107.955,109.415,112.272,117.696,118.346,123.677,124.854,130.576,135.960,141.463,138.561,134.069,136.256,141.124,141.756,138.797,134.515,121.397,104.306,98.930,97.334,100.000,102.487,104.406,109.264,112.994,115.606,118.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood products,133.359,135.229,130.698,127.837,115.692,104.153,88.892,93.942,103.229,101.097,97.478,98.472,96.952,98.815,94.931,96.115,95.646,94.084,102.667,100.860,105.270,98.384,83.657,89.046,98.638,100.000,102.546,93.831,100.582,107.319,115.067,111.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonmetallic mineral products,90.179,96.429,98.970,94.998,84.386,95.721,94.470,101.641,103.350,101.551,114.728,113.945,115.845,115.527,112.651,111.217,114.571,122.355,124.692,116.704,116.587,109.847,88.998,90.838,95.006,100.000,105.997,107.394,108.188,107.256,110.318,111.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary metals,78.812,79.142,79.009,78.709,78.604,83.657,86.744,85.378,77.228,80.771,82.710,88.446,93.941,95.043,88.814,91.544,88.043,96.486,88.644,80.542,79.032,82.817,76.433,77.719,86.039,100.000,106.123,103.801,113.131,119.612,105.417,103.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
