"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","TYPOP","TYPOP_LABEL","CONCENFI","CONCENFI_LABEL","YEAR","FIRM","ESTAB","RCPTOT","PAYANN","PAYQTR1","EMP","VAL_PCT","HHI","RCPTOT_IMP","PAYANN_IMP","EMP_IMP",
"Geographic identifier code","Geographic Area Name","2017 NAICS code","Meaning of NAICS code","Type of operation code","Meaning of Type of operation code","Firm concentration code","Meaning of Firm concentration code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Sales, value of shipments, or revenue of largest firms as percent of total sales, value of shipments, or revenue (%)","Herfindahl-Hirschman Index (based on sales, value of shipments, or revenue) (%)","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed",
"0100000US","United States","2111","Oil and gas extraction","00","All establishments","001","All firms","2017","5139","6409","229734250","12624930","4028221","125129","100.0","X","10% to less than 20%","10% to less than 20%","Less than 10%",
"0100000US","United States","2111","Oil and gas extraction","00","All establishments","604","4 largest firms","2017","4","154","42509713","1269179","433549","10759","18.5","X","Less than 10%","Less than 10%","Less than 10%",
"0100000US","United States","2111","Oil and gas extraction","00","All establishments","608","8 largest firms","2017","8","295","75440531","2349474","758847","21492","32.8","X","Less than 10%","20% to less than 30%","10% to less than 20%",
"0100000US","United States","2111","Oil and gas extraction","00","All establishments","620","20 largest firms","2017","20","466","117146652","4461356","1557279","40075","51.0","X","Less than 10%","20% to less than 30%","Less than 10%",
"0100000US","United States","2111","Oil and gas extraction","00","All establishments","650","50 largest firms","2017","50","873","165957423","6872906","2396638","62866","72.2","184.8","10% to less than 20%","20% to less than 30%","Less than 10%",
"0100000US","United States","2121","Coal mining","00","All establishments","001","All firms","2017","334","634","27011644","3966299","1020954","48466","100.0","X","20% to less than 30%","20% to less than 30%","10% to less than 20%",
"0100000US","United States","2121","Coal mining","00","All establishments","604","4 largest firms","2017","4","56","9249171","1331066","333502","14659","34.2","X","Less than 10%","20% to less than 30%","Less than 10%",
"0100000US","United States","2121","Coal mining","00","All establishments","608","8 largest firms","2017","8","120","14174387","1968799","515073","22200","52.5","X","20% to less than 30%","20% to less than 30%","Less than 10%",
"0100000US","United States","2121","Coal mining","00","All establishments","620","20 largest firms","2017","20","212","20682351","2886766","750721","34167","76.6","X","20% to less than 30%","30% to less than 40%","10% to less than 20%",
"0100000US","United States","2121","Coal mining","00","All establishments","650","50 largest firms","2017","50","326","24866197","3589744","930831","43103","92.1","454.9","20% to less than 30%","20% to less than 30%","10% to less than 20%",
"0100000US","United States","2122","Metal ore mining","00","All establishments","001","All firms","2017","211","269","27171260","3004720","753541","36082","100.0","X","Less than 10%","Less than 10%","Less than 10%",
"0100000US","United States","2122","Metal ore mining","00","All establishments","604","4 largest firms","2017","4","25","13944819","1297082","314892","15901","51.3","X","Less than 10%","10% to less than 20%","Less than 10%",
"0100000US","United States","2122","Metal ore mining","00","All establishments","608","8 largest firms","2017","8","41","20662519","1894383","464793","22071","76.1","X","Less than 10%","10% to less than 20%","Less than 10%",
"0100000US","United States","2122","Metal ore mining","00","All establishments","620","20 largest firms","2017","20","67","25441542","2684447","668888","31376","93.6","X","Less than 10%","10% to less than 20%","Less than 10%",
"0100000US","United States","2122","Metal ore mining","00","All establishments","650","50 largest firms","2017","50","104","27009052","2920611","731263","34788","99.4","915.9","Less than 10%","Less than 10%","Less than 10%",
"0100000US","United States","2123","Nonmetallic mineral mining and quarrying","00","All establishments","001","All firms","2017","2609","4715","29986064","4904342","1151088","85841","100.0","X","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","2123","Nonmetallic mineral mining and quarrying","00","All establishments","604","4 largest firms","2017","4","595","5592707","693622","171472","14163","18.7","X","30% to less than 40%","20% to less than 30%","Less than 10%",
"0100000US","United States","2123","Nonmetallic mineral mining and quarrying","00","All establishments","608","8 largest firms","2017","8","788","8154987","1001361","239273","19071","27.2","X","20% to less than 30%","20% to less than 30%","10% to less than 20%",
"0100000US","United States","2123","Nonmetallic mineral mining and quarrying","00","All establishments","620","20 largest firms","2017","20","1015","12383191","1693658","433954","28912","41.3","X","30% to less than 40%","30% to less than 40%","10% to less than 20%",
"0100000US","United States","2123","Nonmetallic mineral mining and quarrying","00","All establishments","650","50 largest firms","2017","50","1382","17036047","2395797","605818","40128","56.8","137.8","30% to less than 40%","30% to less than 40%","10% to less than 20%",
"0100000US","United States","2131","Support activities for mining","00","All establishments","001","All firms","2017","10473","13246","86562392","22999955","5645712","303102","100.0","X","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","2131","Support activities for mining","00","All establishments","604","4 largest firms","2017","4","494","21703169","3628888","1082328","35198","25.1","X","10% to less than 20%","50% to less than 60%","50% to less than 60%",
"0100000US","United States","2131","Support activities for mining","00","All establishments","608","8 largest firms","2017","8","635","28941513","5286404","1460448","54765","33.4","X","10% to less than 20%","40% to less than 50%","40% to less than 50%",
"0100000US","United States","2131","Support activities for mining","00","All establishments","620","20 largest firms","2017","20","1066","39874725","7631520","2050661","80612","46.1","X","20% to less than 30%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","2131","Support activities for mining","00","All establishments","650","50 largest firms","2017","50","1626","49225276","10302981","2766569","115865","56.9","D","20% to less than 30%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","2211","Electric power generation, transmission and distribution","00","All establishments","001","All firms","2017","1856","11496","461919226","56541290","17692828","519651","100.0","X","Less than 10%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","2211","Electric power generation, transmission and distribution","00","All establishments","604","4 largest firms","2017","4","2617","89828186","12726777","4415794","108256","19.5","X","Less than 10%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","2211","Electric power generation, transmission and distribution","00","All establishments","608","8 largest firms","2017","8","3907","148595736","20846376","6995196","175643","32.2","X","Less than 10%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","2211","Electric power generation, transmission and distribution","00","All establishments","620","20 largest firms","2017","20","5671","262834331","34976744","11409522","298041","56.9","X","Less than 10%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","2211","Electric power generation, transmission and distribution","00","All establishments","650","50 largest firms","2017","50","7521","351499833","45541290","14714682","399750","76.1","211.0","Less than 10%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","2212","Natural gas distribution","00","All establishments","001","All firms","2017","421","2550","100586292","8155351","2357179","91747","100.0","X","Less than 10%","20% to less than 30%","10% to less than 20%",
"0100000US","United States","2212","Natural gas distribution","00","All establishments","604","4 largest firms","2017","4","200","24357107","1027968","287675","10649","24.2","X","Less than 10%","30% to less than 40%","Less than 10%",
"0100000US","United States","2212","Natural gas distribution","00","All establishments","608","8 largest firms","2017","8","641","38956130","2866666","887155","31777","38.7","X","Less than 10%","20% to less than 30%","10% to less than 20%",
"0100000US","United States","2212","Natural gas distribution","00","All establishments","620","20 largest firms","2017","20","1127","64783947","4869910","1411535","53310","64.4","X","Less than 10%","20% to less than 30%","10% to less than 20%",
"0100000US","United States","2212","Natural gas distribution","00","All establishments","650","50 largest firms","2017","50","2021","92319326","7449409","2169367","82999","91.8","293.2","Less than 10%","20% to less than 30%","10% to less than 20%",
"0100000US","United States","2213","Water, sewage and other systems","00","All establishments","001","All firms","2017","3670","4867","14594944","2970213","815523","46986","100.0","X","Less than 10%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","2213","Water, sewage and other systems","00","All establishments","604","4 largest firms","2017","4","448","5934037","1087158","347309","12833","40.7","X","Less than 10%","Less than 10%","Less than 10%",
"0100000US","United States","2213","Water, sewage and other systems","00","All establishments","608","8 largest firms","2017","8","743","7337319","1444331","449693","17776","50.3","X","Less than 10%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","2213","Water, sewage and other systems","00","All establishments","620","20 largest firms","2017","20","939","9249952","1726044","517226","21508","63.4","X","Less than 10%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","2213","Water, sewage and other systems","00","All establishments","650","50 largest firms","2017","50","1124","10814576","2096141","606510","26768","74.1","D","Less than 10%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","2361","Residential building construction","00","All establishments","001","All firms","2017","170434","171814","342010528","37276291","8712702","694023","100.0","X","20% to less than 30%","Less than 10%","10% to less than 20%",
"0100000US","United States","2361","Residential building construction","00","All establishments","604","4 largest firms","2017","4","304","36707256","1980870","608554","19740","10.7","X","30% to less than 40%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","2361","Residential building construction","00","All establishments","608","8 largest firms","2017","8","378","51245550","2903449","882517","28739","15.0","X","30% to less than 40%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","2361","Residential building construction","00","All establishments","620","20 largest firms","2017","20","503","73598188","4173721","1231653","40394","21.5","X","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","2361","Residential building construction","00","All establishments","650","50 largest firms","2017","50","721","92661699","5639196","1623576","55457","27.1","41.8","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","2362","Nonresidential building construction","00","All establishments","001","All firms","2017","40825","42271","458464380","48223332","11293959","651915","100.0","X","10% to less than 20%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","2362","Nonresidential building construction","00","All establishments","604","4 largest firms","2017","4","108","25542247","1778437","472397","17055","5.6","X","30% to less than 40%","30% to less than 40%","40% to less than 50%",
"0100000US","United States","2362","Nonresidential building construction","00","All establishments","608","8 largest firms","2017","8","171","40639593","3177209","813607","30579","8.9","X","40% to less than 50%","30% to less than 40%","40% to less than 50%",
"0100000US","United States","2362","Nonresidential building construction","00","All establishments","620","20 largest firms","2017","20","243","68831461","5366830","1421135","52932","15.0","X","40% to less than 50%","30% to less than 40%","40% to less than 50%",
"0100000US","United States","2362","Nonresidential building construction","00","All establishments","650","50 largest firms","2017","50","397","105637815","8279340","2134095","83063","23.0","17.9","30% to less than 40%","30% to less than 40%","40% to less than 50%",
"0100000US","United States","2371","Utility system construction","00","All establishments","001","All firms","2017","17526","19142","158659104","42300448","9526277","594859","100.0","X","20% to less than 30%","10% to less than 20%","30% to less than 40%",
"0100000US","United States","2371","Utility system construction","00","All establishments","604","4 largest firms","2017","4","172","19479674","5084380","1086867","53132","12.3","X","10% to less than 20%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","2371","Utility system construction","00","All establishments","608","8 largest firms","2017","8","627","28498995","8523797","1940755","110794","18.0","X","20% to less than 30%","20% to less than 30%","50% to less than 60%",
"0100000US","United States","2371","Utility system construction","00","All establishments","620","20 largest firms","2017","20","745","43578367","12287674","2881537","161540","27.5","X","30% to less than 40%","20% to less than 30%","50% to less than 60%",
"0100000US","United States","2371","Utility system construction","00","All establishments","650","50 largest firms","2017","50","967","61359034","17423501","4077719","227504","38.7","60.2","30% to less than 40%","20% to less than 30%","50% to less than 60%",
"0100000US","United States","2372","Land subdivision","00","All establishments","001","All firms","2017","4790","4893","9376544","1586225","393713","23692","100.0","X","30% to less than 40%","Less than 10%","20% to less than 30%",
"0100000US","United States","2372","Land subdivision","00","All establishments","604","4 largest firms","2017","4","16","1211198","174474","50690","1308","12.9","X","20% to less than 30%","Less than 10%","30% to less than 40%",
"0100000US","United States","2372","Land subdivision","00","All establishments","608","8 largest firms","2017","8","53","1755833","245045","75667","2489","18.7","X","30% to less than 40%","Less than 10%","30% to less than 40%",
"0100000US","United States","2372","Land subdivision","00","All establishments","620","20 largest firms","2017","20","74","2714224","353815","102530","3871","29.0","X","30% to less than 40%","10% to less than 20%","40% to less than 50%",
"0100000US","United States","2372","Land subdivision","00","All establishments","650","50 largest firms","2017","50","110","3900024","504002","137598","5878","41.6","67.4","30% to less than 40%","10% to less than 20%","40% to less than 50%",
"0100000US","United States","2373","Highway, street, and bridge construction","00","All establishments","001","All firms","2017","8876","9721","126575188","23248153","4446165","322243","100.0","X","10% to less than 20%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","2373","Highway, street, and bridge construction","00","All establishments","604","4 largest firms","2017","4","268","11300553","1614218","331550","22010","8.9","X","30% to less than 40%","30% to less than 40%","60% to less than 70%",
"0100000US","United States","2373","Highway, street, and bridge construction","00","All establishments","608","8 largest firms","2017","8","383","15751215","2318812","467523","31461","12.4","X","30% to less than 40%","40% to less than 50%","50% to less than 60%",
"0100000US","United States","2373","Highway, street, and bridge construction","00","All establishments","620","20 largest firms","2017","20","457","24299792","3641031","737807","49419","19.2","X","30% to less than 40%","30% to less than 40%","40% to less than 50%",
"0100000US","United States","2373","Highway, street, and bridge construction","00","All establishments","650","50 largest firms","2017","50","541","36387712","5685349","1174051","76600","28.8","35.9","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","2379","Other heavy and civil engineering construction","00","All establishments","001","All firms","2017","4140","4260","23468831","4902897","1175107","67148","100.0","X","30% to less than 40%","10% to less than 20%","30% to less than 40%",
"0100000US","United States","2379","Other heavy and civil engineering construction","00","All establishments","604","4 largest firms","2017","4","28","3407904","621596","176770","6018","14.5","X","70% to less than 80%","10% to less than 20%","60% to less than 70%",
"0100000US","United States","2379","Other heavy and civil engineering construction","00","All establishments","608","8 largest firms","2017","8","46","5605355","1004357","272702","10492","23.9","X","80% to less than 90%","20% to less than 30%","70% to less than 80%",
"0100000US","United States","2379","Other heavy and civil engineering construction","00","All establishments","620","20 largest firms","2017","20","68","8488127","1481749","402130","16576","36.2","X","70% to less than 80%","20% to less than 30%","60% to less than 70%",
"0100000US","United States","2379","Other heavy and civil engineering construction","00","All establishments","650","50 largest firms","2017","50","128","11341223","1993521","533031","22775","48.3","95.6","60% to less than 70%","20% to less than 30%","60% to less than 70%",
