year,vcnaics3,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,113,12352,12496,103194,98546,2436,19.766,2093,16.982,28686,10186,18500,10.336,29.109,19341,7836,11505,7.952,19.626,9345,9.483,39.253,1553,1556,5409
1978,114,1651,1687,11180,10209,417,24.866,397,23.673,4738,1933,2805,18.935,46.412,2810,1324,1486,12.970,27.526,1928,18.886,55.052,297,297,863
1978,115,6360,6836,71421,70043,1158,16.878,1208,17.607,23945,8451,15494,12.065,34.186,21540,8508,13032,12.147,30.753,2405,3.434,61.505,840,862,5775
1978,211,5258,7004,120136,117269,905,12.990,831,11.928,29725,9942,19783,8.478,25.348,23873,11834,12039,10.091,20.357,5852,4.990,40.715,391,402,1637
1978,212,7357,9888,372695,391561,1472,15.018,1299,13.253,65604,22899,42705,5.848,16.754,102838,29574,73264,7.553,26.264,-37234,-9.509,33.509,736,748,10065
1978,213,6708,7817,215802,201418,1571,20.764,1069,14.129,69769,24668,45101,12.247,34.639,41628,18588,23040,9.229,20.667,28141,13.971,41.335,621,633,5010
1978,221,5681,11859,658516,643489,928,7.946,567,4.855,80920,19715,61205,3.064,12.575,51198,12451,38747,1.935,7.956,29722,4.619,15.913,215,217,1820
1978,236,134674,135684,1175922,1082995,34808,27.122,20119,15.676,425158,153098,272060,14.137,39.258,240005,89525,150480,8.266,22.161,185153,17.096,44.322,15543,15554,64380
1978,237,34981,35952,702634,671469,5997,17.015,4585,13.009,208311,48849,159462,7.275,31.023,144906,40242,104664,5.993,21.580,63405,9.443,43.161,3374,3384,21800
1978,238,257393,260350,2217371,2068170,51033,20.344,32026,12.767,702891,219775,483116,10.627,33.986,403531,143703,259828,6.948,19.512,299360,14.475,39.023,24925,24934,103855
1978,311,22201,28378,1387517,1369711,2452,8.593,2768,9.700,177846,40349,137497,2.946,12.984,142624,54000,88624,3.942,10.413,35222,2.571,20.825,1813,1850,23679
1978,312,2508,3213,232112,230315,178,5.480,248,7.635,25605,4086,21519,1.774,11.117,21616,8342,13274,3.622,9.385,3989,1.732,18.771,145,146,2403
1978,313,5286,6654,653209,658887,534,8.090,427,6.469,50597,8707,41890,1.321,7.679,61390,23382,38008,3.549,9.317,-10793,-1.638,15.358,271,272,7469
1978,314,7905,8339,271703,261491,1086,13.237,816,9.946,50858,13854,37004,5.298,19.449,30284,11189,19095,4.279,11.581,20574,7.868,23.163,635,635,5959
1978,315,16654,18980,1237842,1224287,2465,13.029,2343,12.384,193767,63244,130523,5.166,15.827,167151,73209,93942,5.980,13.653,26616,2.174,27.306,1772,1787,41343
1978,316,2374,2791,250705,250343,256,9.149,270,9.650,31728,8050,23678,3.216,12.674,31528,10415,21113,4.160,12.594,200,0.080,25.188,192,195,3502
1978,321,14733,16626,575296,552408,2042,12.398,1731,10.510,103285,25399,77886,4.598,18.697,57582,23303,34279,4.218,10.424,45703,8.273,20.848,1240,1250,12303
1978,322,3712,5788,620510,614154,491,8.657,259,4.566,51454,12498,38956,2.035,8.378,38258,12879,25379,2.097,6.229,13196,2.149,12.459,139,140,3056
1978,323,29487,30810,602461,584991,3604,11.891,2600,8.579,87846,19544,68302,3.341,15.017,53062,23247,29815,3.974,9.071,34784,5.946,18.141,1947,1954,11640
1978,324,1261,2057,148540,147206,176,8.598,156,7.621,12876,2693,10183,1.829,8.747,10147,2608,7539,1.772,6.893,2729,1.854,13.786,62,63,880
1978,325,8014,11666,941810,930666,927,7.957,894,7.674,85980,14392,71588,1.546,9.239,63375,20703,42672,2.225,6.810,22605,2.429,13.619,506,509,5814
1978,326,9818,11635,721669,696952,1344,11.755,941,8.230,106124,21271,84853,3.052,15.227,57118,18846,38272,2.704,8.195,49006,7.031,16.391,652,655,8610
1978,327,12585,15650,591251,574633,1465,9.417,1280,8.228,81568,14809,66759,2.577,14.195,48505,14132,34373,2.459,8.441,33063,5.754,16.882,867,879,6364
1978,331,4668,5848,1063952,1051896,419,7.196,369,6.337,89678,13995,75683,1.330,8.525,66530,14429,52101,1.372,6.325,23148,2.201,12.650,248,249,4184
1978,332,44554,48298,1745451,1681613,5016,10.675,2393,5.093,271576,53630,217946,3.189,16.150,144438,47723,96715,2.838,8.589,127138,7.560,17.179,1600,1610,23314
1978,333,24759,27430,1754290,1701793,2469,9.115,1781,6.575,233174,43446,189728,2.553,13.702,128114,36669,91445,2.155,7.528,105060,6.173,15.056,1218,1220,11142
1978,334,9568,11070,1438534,1385524,1441,13.217,1107,10.153,214998,34882,180116,2.518,15.517,109955,30955,79000,2.234,7.936,105043,7.581,15.872,749,751,10975
1978,335,4925,6155,753769,730468,592,9.751,424,6.984,95130,16214,78916,2.220,13.023,48006,13475,34531,1.845,6.572,47124,6.451,13.144,264,265,3286
1978,336,8386,9923,2093525,2051357,1136,10.971,2000,19.314,231143,45379,185764,2.212,11.268,146241,43993,102248,2.145,7.129,84902,4.139,14.258,1557,1559,14157
1978,337,15049,15959,550623,524670,2245,14.337,1645,10.505,97068,23307,73761,4.442,18.501,45145,19310,25835,3.680,8.604,51923,9.896,17.209,1257,1259,10764
1978,339,23367,24641,689845,669594,3278,13.523,2477,10.218,115954,26441,89513,3.949,17.317,75620,26116,49504,3.900,11.293,40334,6.024,22.587,1883,1887,13294
1978,423,129128,167235,2070163,1987509,21955,13.414,14838,9.065,437519,147680,289839,7.430,22.013,272684,119517,153167,6.013,13.720,164835,8.294,27.440,9285,9470,46576
1978,424,88004,113396,1498158,1467341,13081,11.617,11492,10.206,301843,93051,208792,6.341,20.571,239863,112754,127109,7.684,16.347,61980,4.224,32.694,7377,7499,52001
1978,425,23310,25747,258129,248984,3458,13.772,2181,8.686,54404,18378,36026,7.381,21.850,36210,15014,21196,6.030,14.543,18194,7.307,29.086,1421,1425,6941
1978,441,94124,110684,1341448,1291380,12821,11.742,9831,9.004,237305,79785,157520,6.178,18.376,136974,55990,80984,4.336,10.607,100331,7.769,21.214,7127,7279,38658
1978,442,41138,47035,328956,313696,7426,16.138,5387,11.707,80657,33429,47228,10.657,25.712,50255,23896,26359,7.618,16.020,30402,9.692,32.041,3755,3850,13669
