Four Digit Industries,Year,Capital productivity (2007=100),Capital productivity (percent change),Capital (2007=100),Capital (percent change),Capital costs (Million $),Capital costs (percent change),Capital cost share,Capital cost share (percent change),Capital intensity (2007=100),Capital intensity (percent change),Contribution of capital intensity (2007=100),Contribution of capital intensity (percent change),Labor productivity (2007=100),Labor productivity (percent change),Hours worked (2007=100),Hours worked (percent change),Labor compensation (Million $),Labor compensation (percent change),Labor cost share,Labor cost share (percent change),Hours worked (millions),Hours worked (percent change),Multifactor productivity (2007=100),Multifactor productivity (percent change),Combined inputs (2007=100),Combined inputs (percent change),Combined inputs costs (Million $),Combined inputs costs (percent change),Implicit combined inputs deflator (2007=100),Implicit combined inputs deflator (percent change),Intermediate purchases productivity (2007=100),Intermediate purchases productivity (percent change),Intermediate purchases (2007=100),Intermediate purchases (percent change),Intermediate purchases costs (Million $),Intermediate purchases costs (percent change),Intermediate purchases cost share,Intermediate purchases cost share (percent change),Intermediate purchases to hours ratio (2007=100),Intermediate purchases to hours ratio (percent change),Contribution of intermediate purchases intensity (2007=100),Contribution of intermediate purchases intensity (percent change),Output (2007=100),Output (percent change),Implicit output deflator (2007=100),Implicit output deflator (percent change),Value of production (Million $),Value of production (percent change),Unit labor costs (2007=100),Unit labor costs (percent change),Labor compensation (2007=100),Labor compensation (percent change),Hourly compensation (2007=100),Hourly compensation (percent change),Output per employee (2007=100),Output per employee (percent change),Employment (2007=100),Employment (percent change),Employment (thousands),Employment (percent change)
1111 - Oilseed and grain farming,1987,,,,,,,,,,,,,,,129.562,,,,,,1282.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.94,,656.2,
1111 - Oilseed and grain farming,1988,,,,,,,,,,,,,,,125.917,-2.8,,,,,1246.261,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.74,-1.9,643.9,-1.9
1111 - Oilseed and grain farming,1989,,,,,,,,,,,,,,,124.279,-1.3,,,,,1230.054,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.551,-2.8,626.2,-2.7
1111 - Oilseed and grain farming,1990,,,,,,,,,,,,,,,117.058,-5.8,,,,,1158.577,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.217,-3,607.7,-3
1111 - Oilseed and grain farming,1991,,,,,,,,,,,,,,,114.834,-1.9,,,,,1136.568,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.974,-2.1,595.2,-2.1
1111 - Oilseed and grain farming,1992,,,,,,,,,,,,,,,113.234,-1.4,,,,,1120.735,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.356,-2.4,580.6,-2.5
1111 - Oilseed and grain farming,1993,,,,,,,,,,,,,,,107.841,-4.8,,,,,1067.358,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.607,-0.7,576.4,-0.7
1111 - Oilseed and grain farming,1994,,,,,,,,,,,,,,,99.085,-8.1,,,,,980.689,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.646,-0.9,571.1,-0.9
1111 - Oilseed and grain farming,1995,,,,,,,,,,,,,,,105.188,6.2,,,,,1041.099,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.179,2.5,585.2,2.5
1111 - Oilseed and grain farming,1996,,,,,,,,,,,,,,,103.703,-1.4,,,,,1026.398,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.151,-1.9,573.9,-1.9
1111 - Oilseed and grain farming,1997,,,,,,,,,,,,,,,118.32,14.1,,,,,1171.072,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.996,16.3,667.6,16.3
1111 - Oilseed and grain farming,1998,,,,,,,,,,,,,,,104.19,-11.9,,,,,1031.216,-11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.582,-9.5,604.1,-9.5
1111 - Oilseed and grain farming,1999,,,,,,,,,,,,,,,98.623,-5.3,,,,,976.115,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.925,-3.4,583.8,-3.4
1111 - Oilseed and grain farming,2000,,,,,,,,,,,,,,,98.932,0.3,,,,,979.182,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.499,0.5,587,0.5
1111 - Oilseed and grain farming,2001,,,,,,,,,,,,,,,95.565,-3.4,,,,,945.849,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.875,-5.3,555.7,-5.3
1111 - Oilseed and grain farming,2002,,,,,,,,,,,,,,,97.676,2.2,,,,,966.746,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.341,2.5,569.4,2.5
1111 - Oilseed and grain farming,2003,,,,,,,,,,,,,,,94.764,-3,,,,,937.923,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.905,-4.3,544.7,-4.3
1111 - Oilseed and grain farming,2004,,,,,,,,,,,,,,,102.086,7.7,,,,,1010.392,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.742,0.9,549.4,0.9
1111 - Oilseed and grain farming,2005,,,,,,,,,,,,,,,94.069,-7.9,,,,,931.045,-7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.875,-8,505.6,-8
1111 - Oilseed and grain farming,2006,,,,,,,,,,,,,,,85.434,-9.2,,,,,845.583,-9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.052,-13,439.8,-13
1111 - Oilseed and grain farming,2007,,,,,,,,,,,,,,,100,17,,,,,989.748,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,26.5,556.4,26.5
1111 - Oilseed and grain farming,2008,,,,,,,,,,,,,,,103.272,3.3,,,,,1022.132,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.124,3.1,573.8,3.1
1111 - Oilseed and grain farming,2009,,,,,,,,,,,,,,,105.612,2.3,,,,,1045.298,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.712,7.4,616,7.4
1111 - Oilseed and grain farming,2010,,,,,,,,,,,,,,,106.236,0.6,,,,,1051.471,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.823,0.1,616.6,0.1
1111 - Oilseed and grain farming,2011,,,,,,,,,,,,,,,112.186,5.6,,,,,1110.362,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.954,6.4,656.3,6.4
1111 - Oilseed and grain farming,2012,,,,,,,,,,,,,,,115.358,2.8,,,,,1141.759,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.359,-4.7,625.1,-4.8
1111 - Oilseed and grain farming,2013,,,,,,,,,,,,,,,125.505,8.8,,,,,1242.184,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.155,18.5,740.8,18.5
1111 - Oilseed and grain farming,2014,,,,,,,,,,,,,,,111.546,-11.1,,,,,1104.025,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.17,-15.8,624.1,-15.8
1111 - Oilseed and grain farming,2015,,,,,,,,,,,,,,,105.634,-5.3,,,,,1045.506,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.917,-3.8,600.4,-3.8
1111 - Oilseed and grain farming,2016,,,,,,,,,,,,,,,108.55,2.8,,,,,1074.371,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.026,3.8,623.3,3.8
