naics4,YEAR,sd,d7525,d9010,sd*,d7525*,d9010*
3111,1997,0.4211,0.2511,0.857,0.3274,0.2143,0.728
3111,1998,0.5331,0.2851,0.721,0.3085,0.2574,0.718
3111,1999,0.4727,0.217,0.689,0.2537,0.1866,0.54
3111,2000,0.4448,0.2421,0.706,0.302,0.1913,0.558
3111,2001,0.4947,0.2239,0.559,0.294,0.2109,0.552
3111,2002,0.6196,0.3389,0.943,0.3551,0.2696,0.792
3111,2003,0.6023,0.3305,0.907,0.3503,0.2221,0.843
3111,2004,0.8223,0.282,1.095,0.3699,0.2092,0.887
3111,2005,1.007,0.525,1.91,0.3982,0.3808,0.886
3111,2006,1.074,0.3952,1.431,0.3625,0.2946,0.905
3111,2007,0.6188,0.3412,0.801,0.348,0.2556,0.833
3111,2008,0.7638,0.4409,1.138,0.4219,0.2724,1.088
3111,2009,1.239,0.3505,1.271,0.3748,0.2915,0.903
3111,2010,0.4839,0.321,0.711,0.319,0.3868,0.759
3111,2011,0.767,0.4375,1.047,0.3397,0.3794,0.679
3111,2012,0.485,0.3668,0.894,0.3166,0.3612,0.727
3111,2013,0.7145,0.3411,0.969,0.3214,0.2922,0.732
3111,2014,0.6382,0.2604,0.589,0.305,0.2633,0.66
3111,2015,0.4598,0.2246,0.563,0.286,0.2786,0.619
3111,2016,0.3939,0.2515,0.678,0.3063,0.2705,0.72
3112,1997,0.3448,0.3007,0.731,0.3852,0.4116,0.803
3112,1998,0.4333,0.5615,0.944,0.4115,0.344,0.867
3112,1999,0.418,0.3849,0.781,0.3893,0.3169,0.729
3112,2000,0.4148,0.4401,0.809,0.3832,0.3423,0.76
3112,2001,0.4339,0.5091,0.912,0.397,0.3801,0.814
3112,2002,0.4526,0.5807,0.956,0.3935,0.4872,0.84
3112,2003,0.4413,0.5028,0.961,0.4211,0.4989,0.883
3112,2004,0.4313,0.3432,0.987,0.4244,0.4577,0.949
3112,2005,0.436,0.5128,1.008,0.421,0.5367,0.977
3112,2006,0.4356,0.4552,1.114,0.4127,0.5216,0.952
3112,2007,0.4031,0.4426,1.049,0.4088,0.4567,0.999
3112,2008,0.4452,0.4646,1.143,0.3963,0.4406,0.884
3112,2009,0.4223,0.4543,1.111,0.3896,0.4995,0.87
3112,2010,0.4055,0.5315,1.098,0.4035,0.5246,0.923
3112,2011,0.3911,0.5049,0.998,0.3836,0.4664,0.913
3112,2012,0.4001,0.5731,1.043,0.3443,0.4898,0.819
3112,2013,0.4014,0.5593,0.992,0.3566,0.4382,0.888
3112,2014,0.4727,0.6514,1.08,0.3651,0.4645,0.842
3112,2015,0.5084,0.6721,1.163,0.3795,0.5278,0.921
3112,2016,0.4751,0.4489,1.229,0.367,0.5311,0.849
3113,1997,0.3443,0.4684,0.752,0.4984,0.8754,1.376
3113,1998,0.3569,0.401,0.859,0.4975,0.8364,1.371
3113,1999,0.5048,0.7197,1.309,0.5253,0.8361,1.453
3113,2000,0.3825,0.5584,0.918,0.5007,0.8445,1.356
3113,2001,0.3869,0.5056,0.989,0.4883,0.8508,1.348
3113,2002,0.4299,0.6382,1.25,0.4779,0.7196,1.337
3113,2003,0.4259,0.4822,1.154,0.4907,0.77,1.299
3113,2004,0.3718,0.485,0.899,0.5291,0.8216,1.489
3113,2005,0.5149,0.7932,1.5,0.5123,0.7393,1.456
3113,2006,0.4596,0.5412,1.087,0.4782,0.7641,1.34
3113,2007,0.4141,0.5454,1.058,0.4435,0.7032,1.2
3113,2008,0.631,0.5731,1.716,0.4393,0.6986,1.075
3113,2009,0.4613,0.6995,1.354,0.4267,0.6522,1.107
3113,2010,0.4754,0.6085,1.349,0.4564,0.6844,1.229
3113,2011,0.556,0.6719,1.454,0.4745,0.6746,1.255
3113,2012,0.5214,0.5821,1.309,0.4073,0.651,1
3113,2013,0.4073,0.3648,0.862,0.4086,0.6659,1.029
3113,2014,0.4822,0.8011,1.227,0.4129,0.682,1.026
3113,2015,0.494,0.6956,1.408,0.4142,0.6275,1.144
3113,2016,0.5032,0.6922,1.33,0.3975,0.6269,1.104
3114,1997,0.3403,0.3576,0.798,0.3452,0.5025,0.915
3114,1998,0.3703,0.4183,0.82,0.3649,0.5187,0.864
3114,1999,0.3405,0.4104,0.782,0.3359,0.5393,0.842
3114,2000,0.4388,0.592,1.066,0.3467,0.5293,0.89
3114,2001,0.4215,0.5465,1.005,0.3735,0.5753,0.907
3114,2002,0.4289,0.4566,1.059,0.3691,0.4827,0.903
3114,2003,0.3605,0.4345,0.736,0.3759,0.4938,0.952
3114,2004,0.4685,0.5702,1.162,0.3776,0.5524,1.027
3114,2005,0.4016,0.4701,0.919,0.3563,0.4222,0.928
3114,2006,0.5163,0.5556,1.378,0.3592,0.3858,0.863
3114,2007,0.4465,0.4239,1.101,0.3474,0.4096,0.851
3114,2008,0.579,0.4569,1.347,0.3436,0.4153,0.804
3114,2009,0.5781,0.5103,1.384,0.3456,0.4208,0.782
3114,2010,0.5917,0.4767,1.281,0.3397,0.3765,0.791
3114,2011,0.5494,0.5962,1.38,0.3541,0.4686,0.811
3114,2012,0.3627,0.3845,0.871,0.3161,0.3864,0.841
3114,2013,0.352,0.3874,0.765,0.3276,0.3762,0.886
3114,2014,0.3329,0.3879,0.78,0.3141,0.3621,0.807
3114,2015,0.3676,0.3368,0.742,0.303,0.3965,0.748
3114,2016,0.4625,0.4565,0.976,0.3191,0.4945,0.783
3115,1997,0.3647,0.5085,0.868,0.3115,0.4293,0.724
3115,1998,0.3904,0.5578,0.911,0.3373,0.4662,0.813
3115,1999,0.3361,0.5052,0.845,0.3099,0.4408,0.736
