naics4,YEAR,sd,d7525,d9010,sd*,d7525*,d9010*
3111,1997,0.9392,1.186,2.497,0.8805,1.122,2.168
3111,1998,0.9816,1.511,2.534,0.9122,1.192,2.457
3111,1999,0.8502,1.031,2.249,0.8359,1.039,2.071
3111,2000,0.9543,1.316,2.778,0.8538,0.997,2.265
3111,2001,0.8793,1.181,2.191,0.8002,0.987,1.928
3111,2002,0.8123,1.137,1.976,0.7612,1.072,1.841
3111,2003,0.7793,0.974,1.948,0.7437,1.008,1.95
3111,2004,0.9203,1.45,2.219,0.8158,1.194,2.009
3111,2005,0.8642,1.261,2.349,0.7598,1.156,1.881
3111,2006,0.8272,1.27,2.167,0.7643,1.162,1.878
3111,2007,0.8797,1.356,2.317,0.8478,1.389,2.273
3111,2008,0.8794,1.21,2.354,0.8718,1.381,2.348
3111,2009,0.8973,1.312,2.389,0.9004,1.235,2.33
3111,2010,0.8795,1.246,2.502,0.8343,1.182,2.205
3111,2011,1.017,1.314,2.721,0.8978,1.12,2.368
3111,2012,0.9324,1.323,2.515,0.8289,1.082,2.229
3111,2013,1.018,1.437,2.714,0.8653,1.202,2.235
3111,2014,0.9001,1.226,2.335,0.8003,0.992,1.993
3111,2015,0.859,1.269,2.244,0.8575,1.149,2.254
3111,2016,0.8948,1.214,2.373,0.8553,1.299,2.352
3112,1997,0.8959,1.147,2.635,0.7484,0.904,1.94
3112,1998,0.9307,1.244,2.41,0.7509,0.904,1.849
3112,1999,0.8248,0.988,2.002,0.7387,1.013,1.867
3112,2000,0.7545,0.84,1.942,0.6896,0.917,1.708
3112,2001,0.8541,0.942,2.351,0.7467,0.961,1.832
3112,2002,0.8571,1.02,2.205,0.7935,1.073,2.036
3112,2003,0.9692,1.261,2.631,0.7874,0.904,2.051
3112,2004,0.7912,0.851,2.167,0.7724,0.906,1.962
3112,2005,0.8187,1,2.138,0.7728,0.99,2.133
3112,2006,0.8157,0.87,2.126,0.7904,0.958,2.147
3112,2007,0.909,1.167,2.385,0.8356,1.085,2.222
3112,2008,0.9283,1.213,2.636,0.867,1.129,2.336
3112,2009,0.8665,0.987,2.48,0.8239,1.035,2.176
3112,2010,0.9097,1.289,2.341,0.843,1.048,2.266
3112,2011,0.9662,1.416,2.632,0.8466,1.029,2.419
3112,2012,1.034,1.425,2.88,0.8784,1.157,2.364
3112,2013,0.981,1.278,2.576,0.8626,1.047,2.266
3112,2014,0.9743,1.273,2.558,0.8636,1.078,2.268
3112,2015,0.9731,1.22,2.548,0.8837,1.047,2.288
3112,2016,0.899,1.081,2.45,0.8452,0.939,2.218
3113,1997,0.7757,1.143,1.933,0.7824,1.167,2.088
3113,1998,0.7827,1.326,2.037,0.8398,1.308,2.253
3113,1999,1.039,1.541,2.815,0.9215,1.129,2.059
3113,2000,0.9332,1.163,2.554,0.815,1.1,2.185
3113,2001,0.9182,1.496,2.387,0.8651,1.366,2.288
3113,2002,0.9447,1.142,2.537,0.8972,1.241,2.234
3113,2003,0.8383,1.076,2.267,0.8646,1.243,2.143
3113,2004,0.8425,1.388,2.278,0.7216,1.078,1.892
3113,2005,0.8359,1.09,2.203,0.7308,1.127,1.936
3113,2006,0.7688,1.055,2.115,0.6866,1.084,1.817
3113,2007,0.811,1.085,2.068,0.7605,1.088,1.96
3113,2008,1.029,1.589,2.731,0.7979,1.127,2.112
3113,2009,0.8688,1.553,2.21,0.7424,0.937,1.924
3113,2010,1.022,1.267,2.619,0.7843,1.14,1.869
3113,2011,1.183,1.743,2.94,0.839,1.213,2.071
3113,2012,1.071,1.598,2.767,0.8003,1.153,1.913
3113,2013,0.9966,1.255,2.448,0.7699,1.043,1.945
3113,2014,1.029,1.676,2.588,0.7231,0.932,1.916
3113,2015,1.028,1.64,2.992,0.7213,0.997,1.945
3113,2016,1.154,1.558,3.492,0.7478,1.046,1.879
3114,1997,0.693,0.952,1.908,0.6955,0.995,1.837
3114,1998,0.6798,1.004,1.722,0.6809,0.976,1.795
3114,1999,0.6881,0.956,1.931,0.7011,0.876,1.788
3114,2000,0.8527,1.004,2.231,0.7159,0.9,1.815
3114,2001,0.7033,1.012,1.811,0.6721,0.848,1.708
3114,2002,0.6784,0.899,1.761,0.6493,0.871,1.634
3114,2003,0.6276,0.786,1.695,0.6073,0.706,1.581
3114,2004,0.5723,0.802,1.46,0.5795,0.829,1.551
3114,2005,0.5839,0.754,1.474,0.5656,0.744,1.466
3114,2006,0.6457,0.722,1.686,0.6021,0.694,1.593
3114,2007,0.7406,0.779,2.087,0.5897,0.663,1.522
3114,2008,0.7415,0.852,2.003,0.5679,0.625,1.51
3114,2009,0.5383,0.579,1.334,0.5178,0.606,1.258
3114,2010,0.6169,0.756,1.581,0.5523,0.575,1.373
3114,2011,0.7686,0.949,2.316,0.614,0.704,1.566
3114,2012,0.6464,0.802,1.756,0.6123,0.719,1.551
3114,2013,0.6092,0.674,1.682,0.5467,0.656,1.387
3114,2014,0.6283,0.753,1.478,0.5684,0.614,1.35
3114,2015,0.6845,0.962,1.687,0.5612,0.606,1.411
3114,2016,0.6169,0.906,1.537,0.5776,0.711,1.333
3115,1997,0.7115,0.959,1.884,0.6417,0.9,1.692
3115,1998,0.7328,0.908,1.994,0.6496,0.874,1.715
3115,1999,0.7489,1.045,1.941,0.6327,0.968,1.58
3115,2000,0.7274,0.982,1.962,0.6213,0.883,1.647
3115,2001,0.8174,1.173,2.149,0.6534,0.96,1.745
3115,2002,0.6976,0.997,1.976,0.6075,0.857,1.599
3115,2003,0.6767,0.882,1.824,0.5996,0.811,1.55
3115,2004,0.6421,0.899,1.701,0.588,0.802,1.494
3115,2005,0.6599,0.942,1.668,0.6035,0.834,1.551
3115,2006,0.6018,0.823,1.64,0.5834,0.863,1.557
3115,2007,0.7249,0.984,2.012,0.6139,0.815,1.641
3115,2008,0.7062,1.067,1.909,0.6217,0.889,1.669
3115,2009,0.6458,0.85,1.777,0.6255,0.968,1.716
3115,2010,0.6992,0.965,1.905,0.6378,0.962,1.767
3115,2011,0.7556,0.992,2.091,0.6755,1.039,1.871
3115,2012,0.7911,1.022,2.151,0.6734,0.976,1.815
3115,2013,0.7874,0.94,2.186,0.7038,0.952,1.919
3115,2014,0.7074,0.954,1.94,0.6491,0.901,1.762
3115,2015,0.7056,0.934,1.883,0.6397,0.944,1.675
3115,2016,0.7058,0.947,1.749,0.6458,0.94,1.696
