naics4,year,sd,d7525,d9010,d9990,d1001,sd*,d7525*,d9010*,d9990*,d1001*
3111,1987,0.2883,0.2239,0.6477,0.6196,0.1455,0.2789,0.1947,0.4894,0.8043,0.1535
3111,1988,0.2782,0.1996,0.533,0.8425,0.1384,0.3102,0.1529,0.5752,0.8945,0.1245
3111,1989,0.3253,0.184,0.722,0.7709,0.1533,0.3094,0.1547,0.5261,0.8397,0.1173
3111,1990,0.2954,0.2001,0.5154,1.037,0.1929,0.2927,0.1822,0.4714,0.7978,0.1004
3111,1991,0.2842,0.2235,0.5372,0.6796,0.2426,0.2842,0.1806,0.4711,0.7504,0.2352
3111,1992,0.3006,0.2295,0.5958,0.7566,0.5027,0.2932,0.1866,0.4899,0.6961,0.5431
3111,1993,0.4386,0.2247,0.6774,1.842,0.2326,0.3436,0.2136,0.6837,0.9287,0.1814
3111,1994,0.4931,0.2328,0.9138,1.26,0.2333,0.3454,0.209,0.7599,0.9799,0.1802
3111,1995,0.6007,0.2783,1.141,1.615,0.3008,0.3858,0.2283,0.8168,0.9038,0.3023
3111,1996,0.4998,0.2738,0.9033,1.414,0.4667,0.3893,0.198,0.6815,1.021,0.6026
3111,1997,0.4226,0.2719,0.8679,1.262,0.3342,0.327,0.2116,0.7214,0.6088,0.3121
3111,1998,0.4863,0.2799,0.6922,2.477,0.2557,0.2948,0.2293,0.685,0.4601,0.297
3111,1999,0.4178,0.2003,0.5546,1.717,0.2205,0.2527,0.1897,0.5529,0.4317,0.1811
3111,2000,0.4441,0.2435,0.635,1.813,0.8833,0.309,0.2135,0.5591,0.6555,0.8911
3111,2001,0.4758,0.2278,0.5937,1.801,0.6844,0.2942,0.2203,0.6081,0.6388,0.1648
3111,2002,0.6317,0.3399,1.019,2.559,0.4472,0.36,0.2812,0.8218,0.6928,0.4864
3111,2003,0.5834,0.3589,0.9102,2.508,0.1541,0.3521,0.2386,0.8274,0.5491,0.2007
3111,2004,0.8888,0.3671,1.334,3.514,0.1083,0.369,0.2164,0.8778,0.4745,0.1203
3111,2005,1.009,0.513,2.031,2.612,0.1278,0.3939,0.3451,0.8777,0.5068,0.2998
3111,2006,0.9723,0.4122,1.625,3.271,0.1926,0.3586,0.2857,0.8996,0.4183,0.1494
3111,2007,0.6025,0.3795,0.7891,2.967,0.2304,0.3442,0.2938,0.812,0.5487,0.262
3111,2008,0.8142,0.4394,1.319,2.832,0.2153,0.4154,0.2782,1.058,0.5013,0.1824
3111,2009,1.235,0.3679,1.564,4.01,0.1182,0.3707,0.2781,0.8766,0.4473,0.1353
3111,2010,0.4517,0.3145,0.7143,1.939,0.2065,0.3064,0.3806,0.7399,0.3825,0.1466
3111,2011,0.8693,0.4232,1.221,2.891,0.5727,0.3361,0.3655,0.6681,0.7523,0.3315
3111,2012,0.4933,0.3617,0.9409,1.269,0.1797,0.3214,0.3222,0.759,0.4974,0.1638
3111,2013,0.6971,0.3588,1.027,2.409,0.1197,0.3211,0.3165,0.7302,0.5365,0.1165
3111,2014,0.618,0.3087,0.8703,3.02,0.07504,0.3021,0.253,0.6715,0.5944,0.07703
3111,2015,0.4971,0.2778,0.7423,2.369,0.1058,0.2721,0.2569,0.5707,0.4905,0.08958
3111,2016,0.3738,0.2926,0.6836,0.9397,0.1193,0.2717,0.2543,0.6463,0.4462,0.1099
3111,2017,0.649,0.3298,0.7583,3.056,0.1698,0.2677,0.3167,0.6449,0.3408,0.1352
3111,2018,1.049,0.4314,1.646,3.172,0.3493,0.2866,0.2907,0.6455,0.3664,0.2023
3111,2019,1.726,0.4991,4.182,1.885,0.1782,0.2942,0.2496,0.5789,0.4124,0.1958
3111,2020,1.569,0.51,3.54,2.445,0.1669,0.304,0.2604,0.5901,0.5691,0.1547
3112,1987,0.4494,0.4067,1.012,1.002,0.07798,0.459,0.4992,0.8553,1.35,0.1031
3112,1988,0.4873,0.4767,1.022,1.385,0.1461,0.5051,0.6863,0.9803,1.495,0.08101
3112,1989,0.443,0.3437,1.112,1.007,0.1745,0.4602,0.5217,0.9075,1.234,0.09501
3112,1990,0.4412,0.4033,1.038,0.8696,0.1244,0.4075,0.3367,0.74,1.145,0.06526
3112,1991,0.4703,0.4332,1.32,0.5807,0.05487,0.4033,0.3945,0.8204,1.005,0.0701
3112,1992,0.4554,0.2863,0.8565,1.227,0.1193,0.3983,0.3983,0.699,1.189,0.04525
3112,1993,0.4898,0.4469,1.354,0.5171,0.1468,0.404,0.4033,0.8214,0.9743,0.1852
3112,1994,0.3925,0.4096,0.8526,0.9463,0.2429,0.3847,0.3491,0.6598,1.224,0.1471
3112,1995,0.4666,0.4683,0.992,1.048,0.08597,0.3819,0.2839,0.7324,1.264,0.05591
3112,1996,0.4374,0.3962,1.008,0.7814,0.2753,0.3628,0.3399,0.6515,1.372,0.138
3112,1997,0.3484,0.3011,0.7498,0.8703,0.1972,0.3909,0.4161,0.8066,1.202,0.05203
3112,1998,0.4504,0.4832,0.9782,0.9182,0.2659,0.4108,0.352,0.8576,1.099,0.09365
3112,1999,0.3989,0.3565,0.7913,1.17,0.2331,0.3783,0.3068,0.6914,1.259,0.1755
3112,2000,0.3929,0.3787,0.7875,1.124,0.3672,0.3689,0.347,0.7263,1.08,0.2065
3112,2001,0.3898,0.5007,0.8927,0.9174,0.2351,0.3868,0.3617,0.7608,1.088,0.1964
3112,2002,0.4506,0.5804,0.9503,0.9996,0.3276,0.3867,0.4568,0.8088,1.126,0.2232
